id,item_id,category,item_name,item_condition,price,hot,bid_count,bidder,bid,pic
77,11955987,五花八门,"妈咪宝贝 MamyPoko 均吸干爽纸尿裤 新生儿NB-S60片【3-7kg】",未使用,36,2902次,7,****县郑小妹,18.00,http://img14.360buyimg.com/n1/g15/M02/08/1B/rBEhWVIpcNEIAAAAAAIaFb4Ezm8AAC3JAGHEeAAAhot574.jpg
78,11956094,数码配件,"索尼 SONY LBI-CNP4 微单相机包（黑色）",使用过,299,2407次,6,****贵子-G,51.00,http://img14.360buyimg.com/n1/jfs/t2407/127/2539472334/87485/350ba00d/56dd1987Na27d0ef2.jpg
79,11955736,电脑配件,"技嘉（GIGABYTE）B85M-D3H主板 (Intel B85/LGA 1150)",维修过,Null,3965次,17,****海170,311.00,http://img14.360buyimg.com/n1/jfs/t652/111/1145249771/332878/e912799f/54b60ec9N10be6970.jpg
80,11956145,五花八门,"狮王（Lion ）细齿洁PM2.5活性碳口罩",未使用,7.9,206次,1,****7850,2.00,http://img14.360buyimg.com/n1/jfs/t1876/113/2084215329/98053/df335c9f/5698d0c8N3dbc1423.jpg
81,11956536,手机配件,小米（MI）小米USB插线板,使用过,49,392次,29,****边是晴天,41.00,http://img14.360buyimg.com/n1/jfs/t1606/103/209099819/22118/802da103/5563cb36Nb42540eb.jpg
82,11953153,电脑整机,"微软（Microsoft）Surface Book 笔记本平板二合一 13.5英寸（Intel i7 8G内存 256G存储 独立显卡）",使用过,15588,39729次,25,****hua6,11598.00,http://img14.360buyimg.com/n1/jfs/t1903/264/1201875556/133682/a771634c/5684d5a4Naa73b35a.jpg
83,11955587,钟表,"卡西欧(CASIO)手表 ANALOGUE系列男表BEM-501L-7A",使用过,589,1717次,58,****4bcp,334.00,http://img14.360buyimg.com/n1/jfs/t2395/352/1552133747/121470/fdf1ba74/56cbc41fN38a8ce49.jpg
84,11953205,手机通讯,"Apple iPhone 6s (A1700) 16G 银色 移动联通电信4G手机",使用过,4788,39406次,96,****天天拍拍,4004.00,http://img14.360buyimg.com/n1/jfs/t1750/358/1521618161/94974/710d9a9a/55f0e7d7N34623c97.jpg
85,11955640,外设产品,"酷冷至尊（CoolerMaster） 烈焰枪 旗舰版 青轴 游戏机械键盘 黑色版",使用过,599,2506次,7,****8rxz,400.00,http://img14.360buyimg.com/n1/jfs/t2326/148/1488309713/261873/e74bbf7b/565fa579Nffed7951.jpg
86,11956783,厨房电器,飞利浦（PHILIPS）榨汁机1.5L料理机HR2100/30(绿色),使用过,199,1348次,33,****5182,90.00,http://img14.360buyimg.com/n1/jfs/t2245/312/772680858/61886/38e40ccc/56273843N25e429b1.jpg
87,11956239,奢侈品,"Salvatore Ferragamo 菲拉格慕 女士紫色牛皮钱包 22B934 0583693",使用过,1999,1040次,20,****云叫我哥,912.00,http://img14.360buyimg.com/n1/jfs/t1975/135/662863848/97600/38a1ebdf/5620c273N8533e7fd.jpg
88,11955574,奢侈品,"此商品为奢侈品，无任何附件!
BURBERRY 巴宝莉 男款海军蓝涤纶棉衣 39844231 L码 180/100A",使用过,4780,851次,6,****曼,2234.00,http://img14.360buyimg.com/n1/jfs/t2095/11/1453306768/336459/50b7753e/56aec76fN9f4afc6a.jpg
89,11955267,手机通讯,"三星 E1200R 黑色 移动联通2G",使用过,128,5184次,5,****5mhk,93.00,http://img14.360buyimg.com/n1/g13/M06/08/07/rBEhUlNXFqoIAAAAAAFSxtWrUoIAAMUWAGAaVUAAVLe013.jpg
90,11955787,手机通讯,"小辣椒 红辣椒任性版 灰色 移动联通4G手机 双卡双待",使用过,399,4725次,36,****索,178.00,http://img14.360buyimg.com/n1/jfs/t817/145/654838310/79554/45a779bc/553a03e5N4ea49e86.jpg
91,11956520,奢侈品,"SWAROVSKI 施华洛世奇 Twisty Drop 镀白金色时尚混搭风手镯 5073592",维修过,680,521次,6,****山李小坏,184.00,http://img14.360buyimg.com/n1/jfs/t535/86/238424701/109806/54d9e53a/54588e66N90b77d61.jpg
